NAME,ID,TEAM,PLAY_SEASON,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
Mason Plumlee,2488653,brooklyn-nets,2014/2015,6,0,8.2,2.0,0.3,1.0,1.3,0.3,0.67,0.33,0.5,1.7,0.7
Jerome Jordan,4280,brooklyn-nets,2014/2015,1,0,5.0,0.0,1.0,1.0,2.0,0.0,0.00,0.00,1.0,0.0,0.0
Mirza Teletovic,4385,brooklyn-nets,2014/2015,3,0,5.3,0.0,0.0,1.3,1.3,0.0,0.33,0.00,0.3,0.3,0.0
Darius Morris,6463,brooklyn-nets,2014/2015,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0
Brook Lopez,3448,brooklyn-nets,2015/2016,73,73,33.7,20.6,2.8,5.1,7.8,2.0,0.79,1.70,2.4,2.9,0.8,21.8
Thaddeus Young,3244,brooklyn-nets,2015/2016,73,73,33.0,15.1,2.4,6.6,9.0,1.9,1.53,0.51,1.9,2.5,1.0,17.6
Sean Kilpatrick,2488689,brooklyn-nets,2015/2016,23,0,23.2,13.8,0.4,1.7,2.2,1.1,0.43,0.09,1.2,1.3,1.0,16.8
Jarrett Jack,2768,brooklyn-nets,2015/2016,32,32,32.1,12.8,0.3,4.0,4.3,7.4,1.06,0.22,2.9,2.4,2.5,14.5
Joe Johnson,1007,brooklyn-nets,2015/2016,57,57,33.9,11.8,0.6,3.3,3.9,4.1,0.70,0.04,2.0,1.8,2.0,10.7
Bojan Bogdanovic,3593,brooklyn-nets,2015/2016,79,39,26.8,11.2,0.5,2.8,3.2,1.3,0.37,0.06,1.5,1.5,0.9,10.8
Wayne Ellington,3981,brooklyn-nets,2015/2016,76,41,21.3,7.7,0.3,2.0,2.3,1.1,0.63,0.07,0.6,1.1,1.8,10.2
Shane Larkin,2596158,brooklyn-nets,2015/2016,78,17,22.4,7.3,0.4,1.9,2.3,4.4,1.22,0.15,1.9,1.6,2.3,13.4
Donald Sloan,4303,brooklyn-nets,2015/2016,61,33,21.6,7.0,0.3,2.6,2.8,4.4,0.52,0.07,1.3,1.2,3.4,14.0
Andrea Bargnani,2987,brooklyn-nets,2015/2016,46,0,13.8,6.6,0.6,1.5,2.1,0.4,0.09,0.20,0.6,1.3,0.7,11.9
Henry Sims,6647,brooklyn-nets,2015/2016,14,4,18.8,6.5,1.5,3.6,5.1,0.6,0.64,1.00,0.9,2.6,0.8,13.9
Markel Brown,2530750,brooklyn-nets,2015/2016,62,6,15.8,5.9,0.4,1.6,2.0,1.5,0.61,0.24,0.9,1.5,1.7,11.3
Rondae Hollis-Jefferson,3064291,brooklyn-nets,2015/2016,29,17,21.2,5.8,1.3,4.0,5.3,1.5,1.34,0.55,0.9,2.1,1.7,14.2
Willie Reed,2326015,brooklyn-nets,2015/2016,39,2,10.9,4.7,1.3,1.9,3.1,0.3,0.15,0.77,0.4,1.2,0.6,19.2
Chris McCullough,3153165,brooklyn-nets,2015/2016,24,4,15.1,4.7,1.0,1.8,2.8,0.4,1.17,0.50,0.6,1.6,0.6,12.2
Thomas Robinson,6618,brooklyn-nets,2015/2016,71,7,12.9,4.3,1.9,3.1,5.1,0.6,0.55,0.51,1.0,1.6,0.7,14.5
Sergey Karasev,2959745,brooklyn-nets,2015/2016,40,5,10.0,2.4,0.2,1.3,1.5,0.9,0.15,0.05,0.6,0.7,1.6,8.6
Kevin Garnett,261,boston-celtics,2011/2012,20,20,36.9,19.2,1.6,8.8,10.3,1.5,1.15,1.45,2.2,3.0,0.7
Paul Pierce,662,boston-celtics,2011/2012,20,20,38.9,18.9,0.7,5.4,6.1,3.1,1.50,0.90,2.8,3.4,1.1
Rajon Rondo,3026,boston-celtics,2011/2012,19,19,42.6,17.3,1.8,4.9,6.7,11.9,2.37,0.11,3.8,2.1,3.2
